Strain     Stress    
4.0000e-10 3.1550e-13
1.1580e-04 4.9990e-04
2.2680e-04 2.7730e-03
3.3430e-04 1.6170e-02
4.3710e-04 7.1850e-02
5.3820e-04 2.3170e-01
6.3980e-04 3.3570e-01
7.4090e-04 5.2810e-01
8.4240e-04 7.1520e-01
9.4350e-04 9.5830e-01
1.0450e-03 1.2070e+00
1.1460e-03 1.4800e+00
1.2470e-03 1.7730e+00
1.3480e-03 2.0820e+00
1.4490e-03 2.3990e+00
1.5500e-03 2.7290e+00
1.6520e-03 3.0710e+00
1.7530e-03 3.4160e+00
1.8540e-03 3.7660e+00
1.9550e-03 4.1260e+00
2.0570e-03 4.4890e+00
2.1580e-03 4.8470e+00
2.2590e-03 5.2210e+00
2.3600e-03 5.5900e+00
2.4610e-03 5.9580e+00
2.5620e-03 6.3320e+00
2.6640e-03 6.7080e+00
2.7650e-03 7.0760e+00
2.8660e-03 7.4340e+00
2.9670e-03 7.8020e+00
3.0680e-03 8.1650e+00
3.1700e-03 8.5400e+00
3.2710e-03 8.8960e+00
3.3720e-03 9.2560e+00
3.4740e-03 9.6140e+00
3.5750e-03 9.9530e+00
3.6760e-03 1.0280e+01
3.7770e-03 1.0630e+01
3.8790e-03 1.0920e+01
3.9800e-03 1.1280e+01
4.0820e-03 1.1620e+01
4.1830e-03 1.1950e+01
4.2840e-03 1.2250e+01
4.3860e-03 1.2550e+01
4.4870e-03 1.2860e+01
4.5880e-03 1.3150e+01
4.6900e-03 1.3440e+01
4.7910e-03 1.3720e+01
4.8920e-03 1.3920e+01
4.9940e-03 1.4130e+01
5.0950e-03 1.4360e+01
5.1970e-03 1.4610e+01
5.2980e-03 1.4730e+01
5.3990e-03 1.4700e+01
5.5000e-03 1.4850e+01
5.6010e-03 1.5080e+01
5.7030e-03 1.5250e+01
5.8040e-03 1.5180e+01
5.9050e-03 1.5190e+01
6.0060e-03 1.5270e+01
6.1070e-03 1.5090e+01
6.2080e-03 1.4330e+01
6.3090e-03 1.4260e+01
6.4100e-03 1.4270e+01
6.5110e-03 1.4190e+01
6.6120e-03 1.4180e+01
6.7130e-03 1.4190e+01
6.8140e-03 1.4130e+01
6.9150e-03 1.3960e+01
7.0170e-03 1.3860e+01
7.1170e-03 1.3700e+01
7.2180e-03 1.3650e+01
7.3190e-03 1.3510e+01
7.4200e-03 1.3290e+01
7.5210e-03 1.3110e+01
7.6220e-03 1.3010e+01
7.7230e-03 1.2880e+01
7.8250e-03 1.2830e+01
7.9250e-03 1.2690e+01
8.0260e-03 1.2430e+01
8.1270e-03 1.2310e+01
8.2280e-03 1.2170e+01
8.3290e-03 1.2160e+01
8.4300e-03 1.2080e+01
8.5310e-03 1.2030e+01
8.6320e-03 1.1900e+01
8.7330e-03 1.1710e+01
8.8340e-03 1.1570e+01
8.9350e-03 1.1400e+01
9.0360e-03 1.1160e+01
9.1370e-03 1.0960e+01
9.2380e-03 1.0820e+01
9.3390e-03 1.0590e+01
9.4400e-03 1.0400e+01
9.5410e-03 1.0190e+01
9.6420e-03 1.0140e+01
9.7430e-03 9.9370e+00
9.8440e-03 9.7170e+00
9.9450e-03 9.4710e+00
1.0050e-02 9.2880e+00
1.0150e-02 9.1190e+00
1.0250e-02 8.8270e+00
1.0350e-02 8.5230e+00
1.0450e-02 8.1170e+00
1.0550e-02 7.7910e+00
1.0650e-02 7.6900e+00
1.0750e-02 7.5270e+00
1.0850e-02 7.3420e+00
1.0950e-02 7.2430e+00
1.1050e-02 7.0280e+00
1.1150e-02 6.8640e+00
1.1250e-02 6.5310e+00
1.1350e-02 6.3430e+00
1.1450e-02 6.1570e+00
1.1550e-02 5.8960e+00
1.1660e-02 5.8500e+00
1.1760e-02 5.7470e+00
1.1860e-02 5.4220e+00
1.1960e-02 5.2170e+00
1.2060e-02 5.0600e+00
1.2160e-02 4.9520e+00
1.2260e-02 4.8540e+00
1.2360e-02 4.7810e+00
