Strain     Stress    
4.0000e-10 3.1570e-13
1.2260e-04 6.6220e-04
2.4460e-04 4.5780e-03
3.6530e-04 1.7380e-02
4.7340e-04 6.9510e-02
5.7590e-04 3.3780e-01
6.7660e-04 4.4310e-01
7.8020e-04 6.6070e-01
8.8190e-04 1.2910e+00
9.8370e-04 1.8640e+00
1.0860e-03 2.6520e+00
1.1870e-03 3.4050e+00
1.2923e-03 4.4620e+00
1.3946e-03 5.4630e+00
1.4963e-03 6.5150e+00
1.5983e-03 7.6470e+00
1.7001e-03 8.8420e+00
1.8021e-03 1.0080e+01
1.9039e-03 1.1350e+01
2.0055e-03 1.2650e+01
2.1074e-03 1.4000e+01
2.2090e-03 1.5350e+01
2.3120e-03 1.6720e+01
2.4140e-03 1.8120e+01
2.5160e-03 1.9540e+01
2.6180e-03 2.0970e+01
2.7200e-03 2.2400e+01
2.8220e-03 2.3820e+01
2.9240e-03 2.5240e+01
3.0270e-03 2.6720e+01
3.1300e-03 2.8180e+01
3.2320e-03 2.9610e+01
3.3340e-03 3.1070e+01
3.4370e-03 3.2500e+01
3.5390e-03 3.3920e+01
3.6410e-03 3.5340e+01
3.7430e-03 3.6760e+01
3.8460e-03 3.8180e+01
3.9480e-03 3.9570e+01
4.0500e-03 4.0960e+01
4.1520e-03 4.2330e+01
4.2550e-03 4.3720e+01
4.3580e-03 4.5090e+01
4.4610e-03 4.6460e+01
4.5640e-03 4.7810e+01
4.6660e-03 4.9080e+01
4.7680e-03 5.0360e+01
4.8710e-03 5.1650e+01
4.9740e-03 5.2880e+01
5.0760e-03 5.4110e+01
5.1790e-03 5.5340e+01
5.2810e-03 5.6530e+01
5.3840e-03 5.7720e+01
5.4870e-03 5.8760e+01
5.5890e-03 5.9740e+01
5.6920e-03 6.0770e+01
5.7940e-03 6.1720e+01
5.8960e-03 6.2700e+01
5.9980e-03 6.3620e+01
6.1000e-03 6.4500e+01
6.2020e-03 6.5320e+01
6.3030e-03 6.6150e+01
6.4050e-03 6.6980e+01
6.5080e-03 6.7740e+01
6.6110e-03 6.8540e+01
6.7130e-03 6.9330e+01
6.8150e-03 7.0090e+01
6.9170e-03 7.0760e+01
7.0190e-03 7.1400e+01
7.1210e-03 7.1960e+01
7.2230e-03 7.2250e+01
7.3250e-03 7.2640e+01
7.4260e-03 7.2880e+01
7.5280e-03 7.3010e+01
7.6290e-03 7.2940e+01
7.7310e-03 7.2600e+01
7.8320e-03 7.2130e+01
7.9330e-03 7.1890e+01
8.0350e-03 7.1720e+01
8.1360e-03 7.1450e+01
8.2370e-03 7.0790e+01
8.3380e-03 7.0300e+01
8.4400e-03 7.0040e+01
8.5410e-03 6.9750e+01
8.6430e-03 6.9570e+01
8.7440e-03 6.9440e+01
8.8450e-03 6.9160e+01
8.9470e-03 6.8730e+01
9.0480e-03 6.7930e+01
9.1490e-03 6.6850e+01
9.2500e-03 6.4620e+01
9.3500e-03 6.1290e+01
9.4510e-03 5.9660e+01
9.5530e-03 5.8790e+01
9.6540e-03 5.8080e+01
9.7550e-03 5.7540e+01
9.8570e-03 5.7150e+01
9.9580e-03 5.6590e+01
1.0059e-02 5.5890e+01
1.0160e-02 5.4980e+01
1.0261e-02 5.3980e+01
1.0362e-02 5.3040e+01
1.0463e-02 5.2060e+01
1.0564e-02 5.1350e+01
1.0665e-02 5.0510e+01
1.0766e-02 4.9580e+01
