Strain     Stress    
4.0000e-10 3.2510e-13
1.2420e-04 1.4960e-03
2.3280e-04 1.9040e-02
3.3780e-04 1.1950e-01
4.4010e-04 4.0300e-01
5.4220e-04 7.4300e-01
6.4400e-04 1.2190e+00
7.4570e-04 1.8690e+00
8.4720e-04 2.6350e+00
9.4860e-04 3.5240e+00
1.0500e-03 4.5300e+00
1.1520e-03 5.6110e+00
1.2540e-03 6.7730e+00
1.3560e-03 8.0020e+00
1.4580e-03 9.3000e+00
1.5600e-03 1.0650e+01
1.6620e-03 1.2030e+01
1.7640e-03 1.3470e+01
1.8660e-03 1.4940e+01
1.9680e-03 1.6470e+01
2.0710e-03 1.8000e+01
2.1720e-03 1.9560e+01
2.2740e-03 2.1140e+01
2.3760e-03 2.2740e+01
2.4780e-03 2.4360e+01
2.5800e-03 2.6000e+01
2.6820e-03 2.7640e+01
2.7840e-03 2.9290e+01
2.8860e-03 3.0940e+01
2.9880e-03 3.2590e+01
3.0900e-03 3.4230e+01
3.1920e-03 3.5870e+01
3.2950e-03 3.7500e+01
3.3960e-03 3.9120e+01
3.4990e-03 4.0750e+01
3.6010e-03 4.2340e+01
3.7030e-03 4.3950e+01
3.8050e-03 4.5500e+01
3.9080e-03 4.7080e+01
4.0110e-03 4.8650e+01
4.1130e-03 5.0140e+01
4.2150e-03 5.1610e+01
4.3170e-03 5.3110e+01
4.4190e-03 5.4530e+01
4.5210e-03 5.5910e+01
4.6230e-03 5.7320e+01
4.7260e-03 5.8690e+01
4.8280e-03 6.0000e+01
4.9300e-03 6.1270e+01
5.0320e-03 6.2560e+01
5.1340e-03 6.3800e+01
5.2360e-03 6.4980e+01
5.3380e-03 6.6110e+01
5.4390e-03 6.7170e+01
5.5410e-03 6.8220e+01
5.6430e-03 6.9180e+01
5.7450e-03 7.0100e+01
5.8460e-03 7.0970e+01
5.9480e-03 7.1850e+01
6.0500e-03 7.2670e+01
6.1520e-03 7.3400e+01
6.2530e-03 7.4160e+01
6.3550e-03 7.4940e+01
6.4560e-03 7.5510e+01
6.5580e-03 7.6030e+01
6.6590e-03 7.6600e+01
6.7610e-03 7.7120e+01
6.8620e-03 7.7620e+01
6.9640e-03 7.7990e+01
7.0650e-03 7.8410e+01
7.1670e-03 7.8730e+01
7.2680e-03 7.9000e+01
7.3700e-03 7.9160e+01
7.4710e-03 7.9250e+01
7.5720e-03 7.9330e+01
7.6740e-03 7.9280e+01
7.7750e-03 7.9090e+01
7.8760e-03 7.8820e+01
7.9770e-03 7.8610e+01
8.0780e-03 7.8720e+01
8.1800e-03 7.8740e+01
8.2810e-03 7.8570e+01
8.3820e-03 7.8100e+01
8.4830e-03 7.7470e+01
8.5840e-03 7.6530e+01
8.6850e-03 7.5780e+01
8.7870e-03 7.5090e+01
8.8880e-03 7.4320e+01
8.9890e-03 7.3630e+01
9.0900e-03 7.2950e+01
9.1910e-03 7.2290e+01
9.2920e-03 7.1400e+01
9.3930e-03 7.0460e+01
9.4940e-03 6.9410e+01
9.5950e-03 6.8530e+01
9.6960e-03 6.7590e+01
9.7970e-03 6.6210e+01
9.8980e-03 6.4720e+01
9.9990e-03 6.2770e+01
1.0099e-02 6.0730e+01
1.0200e-02 5.7940e+01
1.0300e-02 5.6670e+01
1.0401e-02 5.5460e+01
1.0502e-02 5.4390e+01
