Strain    FractBonds
4.000e-10          0
1.158e-04          0
2.268e-04          1
3.343e-04          3
4.371e-04          9
5.382e-04         18
6.398e-04         36
7.409e-04         54
8.424e-04         85
9.435e-04        142
1.045e-03        196
1.146e-03        290
1.247e-03        385
1.348e-03        514
1.449e-03        686
1.550e-03        918
1.652e-03       1204
1.753e-03       1525
1.854e-03       1886
1.955e-03       2287
2.057e-03       2762
2.158e-03       3289
2.259e-03       3874
2.360e-03       4570
2.461e-03       5274
2.562e-03       6133
2.664e-03       7064
2.765e-03       8128
2.866e-03       9125
2.967e-03      10363
3.068e-03      11651
3.170e-03      12983
3.271e-03      14503
3.372e-03      16173
3.474e-03      17948
3.575e-03      19760
3.676e-03      21699
3.777e-03      23748
3.879e-03      25973
3.980e-03      28228
4.082e-03      30544
4.183e-03      33117
4.284e-03      35920
4.386e-03      38739
4.487e-03      41791
4.588e-03      44730
4.690e-03      48026
4.791e-03      51443
4.892e-03      55457
4.994e-03      59319
5.095e-03      63072
5.197e-03      66641
5.298e-03      72527
5.399e-03      78529
5.500e-03      82338
5.601e-03      86231
5.703e-03      90653
5.804e-03      98429
5.905e-03     103489
6.006e-03     108019
6.107e-03     116605
6.208e-03     128401
6.309e-03     132414
6.410e-03     136946
6.511e-03     141652
6.612e-03     145692
6.713e-03     149549
6.814e-03     153743
6.915e-03     157592
7.017e-03     161515
7.117e-03     165595
7.218e-03     169305
7.319e-03     173296
7.420e-03     177207
7.521e-03     180966
7.622e-03     184295
7.723e-03     187268
7.825e-03     190204
7.925e-03     193351
8.026e-03     196772
8.127e-03     199583
8.228e-03     202045
8.329e-03     204411
8.430e-03     207014
8.531e-03     209773
8.632e-03     212692
8.733e-03     215430
8.834e-03     218218
8.935e-03     221175
9.036e-03     224512
9.137e-03     227858
9.238e-03     230746
9.339e-03     232939
9.440e-03     234787
9.541e-03     236255
9.642e-03     237620
9.743e-03     239233
9.844e-03     240738
9.945e-03     242612
1.005e-02     244385
1.015e-02     245920
1.025e-02     247490
1.035e-02     249791
1.045e-02     251838
1.055e-02     253087
1.065e-02     253880
1.075e-02     254972
1.085e-02     255999
1.095e-02     257068
1.105e-02     258306
1.115e-02     259448
1.125e-02     260788
1.135e-02     261905
1.145e-02     263816
1.155e-02     265042
1.166e-02     265818
1.176e-02     266478
1.186e-02     268030
1.196e-02     269027
1.206e-02     269774
1.216e-02     270365
1.226e-02     270873
1.236e-02     271271
