Strain    FractBonds
4.000e-10          0
1.226e-04          0
2.446e-04          0
3.653e-04          3
4.734e-04          7
5.759e-04         20
6.766e-04         40
7.802e-04         75
8.819e-04        129
9.837e-04        214
1.086e-03        352
1.187e-03        562
1.292e-03        962
1.395e-03       1269
1.496e-03       1754
1.598e-03       2355
1.700e-03       3086
1.802e-03       3966
1.904e-03       4991
2.005e-03       6210
2.107e-03       7729
2.209e-03       9593
2.312e-03      11691
2.414e-03      14033
2.516e-03      16532
2.618e-03      19434
2.720e-03      22695
2.822e-03      26282
2.924e-03      30477
3.027e-03      34914
3.130e-03      39988
3.232e-03      45297
3.334e-03      50991
3.437e-03      57431
3.539e-03      64059
3.641e-03      71253
3.743e-03      78850
3.846e-03      87218
3.948e-03      95742
4.050e-03     104799
4.152e-03     114673
4.255e-03     125064
4.358e-03     135839
4.461e-03     147109
4.564e-03     159050
4.666e-03     171773
4.768e-03     185294
4.871e-03     199216
4.974e-03     214234
5.076e-03     228960
5.179e-03     244592
5.281e-03     260837
5.384e-03     278097
5.487e-03     296876
5.589e-03     315672
5.692e-03     334640
5.794e-03     354374
5.896e-03     374216
5.998e-03     394351
6.100e-03     414844
6.202e-03     435443
6.303e-03     456329
6.405e-03     477718
6.508e-03     499909
6.611e-03     521377
6.713e-03     543302
6.815e-03     565604
6.917e-03     588726
7.019e-03     612214
7.121e-03     637134
7.223e-03     663183
7.325e-03     687787
7.426e-03     712274
7.528e-03     736691
7.629e-03     763032
7.731e-03     789437
7.832e-03     815429
7.933e-03     837857
8.035e-03     860609
8.136e-03     885425
8.237e-03     910201
8.338e-03     932622
8.440e-03     951612
8.541e-03     970649
8.643e-03     987646
8.744e-03    1005188
8.845e-03    1024153
8.947e-03    1043990
9.048e-03    1065579
9.149e-03    1089654
9.250e-03    1119691
9.350e-03    1146542
9.451e-03    1161949
9.553e-03    1174440
9.654e-03    1186944
9.755e-03    1197360
9.857e-03    1206412
9.958e-03    1216419
1.006e-02    1226879
1.016e-02    1237527
1.026e-02    1247194
1.036e-02    1256319
1.046e-02    1265179
1.056e-02    1272867
1.067e-02    1281967
1.077e-02    1291274
