Strain    FractBonds
4.000e-10          0
1.242e-04          0
2.328e-04          5
3.378e-04         10
4.401e-04         28
5.422e-04         48
6.440e-04         88
7.457e-04        167
8.472e-04        276
9.486e-04        439
1.050e-03        682
1.152e-03       1009
1.254e-03       1427
1.356e-03       1979
1.458e-03       2675
1.560e-03       3483
1.662e-03       4393
1.764e-03       5646
1.866e-03       7055
1.968e-03       8728
2.071e-03      10726
2.172e-03      12969
2.274e-03      15564
2.376e-03      18491
2.478e-03      21828
2.580e-03      25632
2.682e-03      30070
2.784e-03      34882
2.886e-03      40194
2.988e-03      46122
3.090e-03      52661
3.192e-03      59766
3.295e-03      67606
3.396e-03      75899
3.499e-03      84894
3.601e-03      95087
3.706e-03     107032
3.808e-03     117263
3.910e-03     128904
4.013e-03     141337
4.115e-03     155526
4.217e-03     169648
4.320e-03     184693
4.422e-03     200640
4.524e-03     217569
4.626e-03     234437
4.729e-03     252393
4.831e-03     271274
4.933e-03     290967
5.035e-03     310756
5.137e-03     331407
5.239e-03     352694
5.341e-03     374342
5.442e-03     396890
5.544e-03     419572
5.646e-03     443984
5.748e-03     467657
5.849e-03     491931
5.951e-03     515817
6.053e-03     540422
6.155e-03     565619
6.256e-03     589597
6.358e-03     613985
6.459e-03     640573
6.561e-03     665658
6.662e-03     689895
6.764e-03     715279
6.865e-03     740354
6.967e-03     765516
7.068e-03     788771
7.170e-03     813929
7.271e-03     839587
7.373e-03     864835
7.474e-03     889248
7.575e-03     913115
7.677e-03     939173
7.778e-03     965745
7.879e-03     992985
7.980e-03    1016628
8.081e-03    1037472
8.183e-03    1060108
8.284e-03    1084233
8.385e-03    1109571
8.486e-03    1136857
8.587e-03    1163076
8.688e-03    1186101
8.790e-03    1207483
8.891e-03    1226969
8.992e-03    1245196
9.093e-03    1262742
9.194e-03    1279611
9.295e-03    1296664
9.396e-03    1314158
9.497e-03    1333382
9.598e-03    1351059
9.699e-03    1369368
9.800e-03    1388005
9.901e-03    1407410
1.000e-02    1426408
1.010e-02    1443053
1.020e-02    1459698
1.030e-02    1471296
1.040e-02    1482633
1.051e-02    1493307
1.061e-02    1502001
1.071e-02    1511318
1.081e-02    1519709
1.091e-02    1527160
1.101e-02    1535449
1.111e-02    1544130
1.121e-02    1552018
1.131e-02    1559861
1.141e-02    1566991
1.151e-02    1572880
1.161e-02    1578501
1.171e-02    1585431
1.181e-02    1592071
1.192e-02    1597465
1.202e-02    1602657
1.212e-02    1607101
1.222e-02    1611164
